Artist,Title,Duration,Genre,BPM,Key,Time,Role,Crowd,Notes
Ayala042,Music Play (Original Mix),6:10,Minimal / Deep Tech,125.00,5A,,,,
Banda Sonora,Guitarra G (Martijn Ten Velden Remix),8:23,Deep House,123.00,4A,,,,
"Bantwanas, Khonaye",Izolo feat. Khonaye (Lost Desert & Lee Burridge Remix),8:24,Organic House / Downtempo,120.00,9A,,,,
Barry Can't Swim,Rah That's A Mad Question (Original Mix),3:47,House,121.00,8A,,,,
Bas Amro,Ten (Original Mix),8:24,Deep House,123.00,7A,,,,
Beltran (BR),Smack Yo' (Original Mix),5:06,Tech House,127.00,9B,,,,
Betical,Stranger (Extended),4:55,Minimal / Deep Tech,122.00,6B,,,,
Bicep,Glue (Original Mix),4:29,Electronica,130.00,9A,,,,
Bicep,Just (Original Mix),6:12,Electronica,120.00,7A,,,,
Bicep,Opal (Four Tet Remix),8:14,Deep House,127.00,8A,,,,
Bob Moses,Enough to Believe (Jamie Jones Remix),5:14,Melodic House & Techno,124.00,4A,,,,
Bob Moses,Tearing Me Up (Original Mix),7:50,Dance / Electro Pop,115.00,7A,,,,
Bob Sinclar,"World Hold On feat. Steve Edwards (Fisher Rework, Extended Mix)",5:33,House,127.00,1A,,,,
"Bobbi Fallon, Animalic Drum",Sell My Heart (Kreative Nativez Remix),7:01,Afro House,123.00,11A,,,,
Borai & Denham Audio,Make Me (Franky Rizardo Extended Remix),5:43,House,130.00,2A,,,,
"Red Eye, Brett Johnson, M.A.N.D.Y.",Rhythm & Soul feat. Brett Johnson & Red Eye (Rework),7:10,Deep House,125.00,5A,,,,
"CamelPhat, Elderbrook",Cola (Original Mix),6:55,House,122.00,3A,,,,
"Catz 'n Dogz, ZENSOFLY, Maxville",Wave feat. Zensofly & Maxville (Kassian Remix),8:00,Deep House,126.00,12A,,,,
Chambord,Moonalaya (Original Mix),9:43,Melodic House & Techno,120.00,2A,,,,
Chaos In The CBD,Dusty Sundays (Original Mix),5:58,House,120.00,4B,,,,
"Charlotte Cardin, RUSH AVENUE",Feel Good (feat. Charlotte Cardin) [Remix] (feat. Charlotte Cardin),3:28,Afro House,120.00,11A,,,,
"Christopher Schwarzwalder, Mira (Berlin)",Deía (Original Mix),7:22,Organic House / Downtempo,115.00,10A,,,,
"Christopher Schwarzwalder, Mira (Berlin), Xique-Xique",Siriema (Mira & Christopher Schwarzwälder Remix),7:19,Organic House / Downtempo,108.00,6A,,,,
Chrome Sparks,Marijuana (Original Mix),3:01,Electronica,87.00,1A,,,,
CIOZ,Lucky Shot (Original Mix),8:14,Deep House,122.00,7A,,,,
Climbers,Equal Responsibility (Betoko Remix),7:36,Deep House,120.00,12A,,,,
"Crusy, Lubó",New Life (feat. Lubó) (Extended),7:18,Melodic House & Techno,126.00,9A,,,,
"Cyril Hahn, Shy Girls",Perfect Form (Original Mix),4:48,Electronica,123.00,4A,,,,
Daft Punk,Give Life Back to Music (Original Mix),4:35,Dance / Pop,119.05,8A,,,,
"Damian Lazarus, Moullinex, Sara Tavares",Minina di Céu (Damian Lazarus Re-Shape),6:36,Breaks / Breakbeat / UK Bass,128.00,5A,,,,
"Danny Goliger, Mary Droppinz",Glo BB (Original Mix),5:18,Electronica,130.00,6B,,,,
"Brigitte Zozula, David Marston",Feel Your Soul feat. Frano (Original Mix),5:40,Indie Dance,127.00,1A,,,,
Deer Jade,Firmament (Original Mix),5:30,House,124.00,7A,,,,
Deer Jade,Jukurpa (Extended Mix),4:59,Afro House,118.00,9A,,,,
Demon,You Are My High (Extended Version) (2024 Remastered),5:28,House,120.88,9A,,,,
Dennis Ferrer,Hey Hey (DF's Attention Vocal Mix),7:12,House,126.00,2A,,,,
DESIREE (RSA),Femme (Original Mix),6:22,Afro House,123.00,1A,,,,
Dilby,Remember Me (Extended Mix),6:19,Deep House,124.00,1A,,,,
"DJ Koze, Sophia Kennedy","Drone Me Up, Flashy (&Me Remix)",9:06,Melodic House & Techno,120.00,3B,,,,
"DJ Tennis, Joseph Ashworth, LP Giobbi",All In A Dream feat. DJ Tennis feat. Joseph Ashworth (Extended Mix),6:08,Melodic House & Techno,120.00,7A,,,,
Dua Lipa,Houdini (Adam Port Mix),3:22,Dance / Pop,119.00,6A,,,,
Duke Dumont,Ocean Drive (Extended Mix),4:39,Dance / Pop,115.00,1A,,,,
"Dusky, Janai",It's Not Enough (Jozif Voxatron Remix),7:30,Deep House,120.00,4A,,,,
"Dusky, Janai",It's Not Enough feat. Janai (Original Mix),6:49,Deep House,123.00,4A,,,,
"eL-Jay, &friends, Oluwadamvic",Ode Ireti (Nitefreak Remix),6:27,Afro House,120.00,1A,,,,
Eli & Fur,Feel The Fire (Journeyman Remix),6:27,Deep House,120.00,7A,,,,
Eli & Fur,Night Blooming Jasmine (Original Mix),3:46,Deep House,120.00,4A,,,,
Eli & Fur,Night Blooming Jasmine (Rodriguez Jr. Remix),6:10,Melodic House & Techno,120.00,4A,,,,
Eli & Fur,Walk The Line (Extended Mix),4:56,Melodic House & Techno,123.00,9A,,,,
Eli & Fur,Walk The Line (Themba Extended Mix),6:21,Melodic House & Techno,122.00,9A,,,,
"Emanuele Esposito, Gianni Romano",It's Not Right (Original Mix),6:22,Afro House,123.00,5A,,,,
"Emmanuel Jal, Nyaruach, Benjy, LevyM","Guaja feat. Emmanuel Jal, Nyaruach, Benjy (Original Mix)",4:18,Funky House,122.00,8B,,,,
Emmit Fenn,Control (Original Mix),2:50,Deep House,120.00,9A,,,,
"Enoo Napa, DJ Merlon",Two Zulu Men In Ibiza (Original Mix),7:01,Afro House,120.00,11B,,,,
Eric Prydz,Opus (Original Mix),9:03,Mainstage,126.13,11B,,,,
"Eric Prydz, Empire Of The Sun",We Are Mirage (Original Mix),6:19,Progressive House,128.00,9A,,,,
Floyd Lavine,Masala (Pablo Fierro Remix),6:58,Afro House,125.00,7A,,,,
"Franky Rizardo, Joe Goddard",No Judgement (Kölsch Remix),7:10,Melodic House & Techno,127.00,6A,,,,
"Fred Falke, Elohim, Mansions on the Moon",It's A Memory (Amtrac Remix),6:47,Electronica,124.00,2A,,,,
"Fulltone, Parallelle",How Can I Resist (Original Mix),6:28,Organic House / Downtempo,119.00,6A,,,,
"Fulltone, Parallelle",How Can I Resist (Patrice Bäumel Remix),6:24,Melodic House & Techno,125.00,6A,,,,
German Brigante,So Fine (Extended Mix),6:07,Melodic House & Techno,121.00,1A,,,,
Glass Animals,Gooey (Original Mix),4:49,Dance / Pop,91.50,10A,,,,
Guy Gerber,What To Do (&ME Remix),8:24,Melodic House & Techno,122.00,5B,,,,
"Hannah Wants, Clementine Douglas",Cure My Desire feat. Clementine Douglas (Extended Mix),6:38,Deep House,122.00,2A,,,,
Hardt Antoine,Too Late (Original Mix),6:44,Electronica,124.00,8A,,,,
"Henri Bergmann, Wennink",Protection (Dodi Palese Remix),5:57,Indie Dance,124.00,1A,,,,
Hot Since 82,Tilted (Original Mix),8:12,Melodic House & Techno,124.00,9A,,,,
Hot Since 82,Veins (Original Mix),7:23,Tech House,124.00,8A,,,,
Howling,Bind (Rampa Remix),6:18,Melodic House & Techno,123.00,4A,,,,
Huxley,Let It Go (Original Mix),6:53,Deep House,122.00,5A,,,,
"Interplanetary Criminal, Eliza Rose",B.O.T.A. (Baddest Of Them All) (Original Mix),5:58,House,137.00,8B,,,,
"Jaguar Jaguar, Chambord",Born In Blue (Original Mix),8:31,Melodic House & Techno,118.00,9A,,,,
"KENNY BEATS, James Vincent McMorrow",I Should Go (Nic Fanciulli Remix) [Extended] (Original Mix),7:03,Deep House,128.00,7A,,,,
Jamie Antonelli,Divine (Original Mix),4:57,Indie Dance,120.00,8A,,,,
"Jessica Eve, Harry Romero",It Hurts feat. Jessica Eve (Rodriguez Jr. Remix),6:01,Melodic House & Techno,123.00,3B,,,,
Joeski,Backa (Original Mix),6:27,Afro House,124.00,11A,,,,
"John Summit, HAYLA",Shiver (Extended Mix),4:53,Dance / Pop,127.00,9A,,,,
"Joi Cardwell, Jon Dasilva, Maceo Plex",Love Somebody Else Feat. Joi Cardwell (Original Mix),8:18,Deep House,123.00,12B,,,,
"Joy Orbison, Overmono, Kwengface",Freedom 2 (Original Mix),3:26,Breaks / Breakbeat / UK Bass,140.00,10A,,,,
"Junior Reid, Yotto",One Blood (Extended Mix),5:57,Melodic House & Techno,124.00,6A,,,,
"Justice, Rampa, Tame Impala, Keinemusik",Neverender (Rampa Remix),6:24,Afro House,120.00,12A,,,,
"Justice, Tame Impala",Neverender (Extended),6:43,Indie Dance,119.00,11A,,,,
"Justice, Tame Impala",One Night/All Night (Original Mix),4:36,Dance / Pop,116.13,4A,,,,
"Kaskade, deadmau5",I Remember (Original Mix),9:07,Dance / Pop,128.00,10A,,,,
"Kaskade, deadmau5, Kx5",Escape feat. Hayla (Extended Mix),5:14,Dance / Pop,126.00,8A,,,,
"Gorgon City, Romeo, Kaskade",Go Slow (Club Mix),5:14,Dance / Electro Pop,124.00,9A,,,,
Kaz James,Footprints (Extended Mix),7:33,House,123.00,12A,,,,
"Kaz James, Nick Morgan",Dazed (KAIOS Extended Mix),7:40,Tech House,124.00,10A,,,,
Kidnap,Skin (Rinzen Remix),7:30,Melodic House & Techno,123.00,8A,,,,
KiNK,Perth (Dusky Remix),6:09,House,125.00,5A,,,,
Kreech,Whatever (Original Mix),6:44,Minimal / Deep Tech,129.00,6A,,,,
Kristine W,Feel What You Want (Our Tribe Vocal Mix),5:33,House,126.01,8A,,,,
Kuriose Naturale,Total Holzmarktstrasse (Original Mix),6:32,Organic House / Downtempo,120.00,6A,,,,
"Lauer, Zombies In Miami",Clamato (Original Mix),6:52,Indie Dance,123.00,6A,,,,
"Laurent Wolf, Eric Carter",No Stress (Stereoclip Extended Remix),4:22,Melodic House & Techno,125.00,2A,,,,
Le Youth,Aquiver (Original Mix),6:45,Melodic House & Techno,124.00,4A,,,,
Lis Sarroca,Daft Disc (Original Mix),6:59,House,120.00,8A,,,,
Loofy,Last Night (Extended Mix),6:04,Tech House,129.00,2A,,,,
Lou Rawls,"You'll Never Find Another Love Like Mine (Kenny Summit, Frankie Knuckles & Eric Kupper Remix)",7:40,House,120.00,11A,,,,
LP Giobbi,All I Need (DESIREE Remix),5:39,Afro House,120.00,5B,,,,
Lusine,Two Dots (Nic Fanciulli Remix),8:14,Tech House,125.00,8B,,,,
Maceo Plex,Nu World (Original Mix),5:51,Melodic House & Techno,126.00,8A,,,,
Marcus Worgull,Love Song (Original Mix),6:27,Indie Dance,124.00,8A,,,,
Marie Davidson,Work It (Soulwax Remix),4:46,Indie Dance,125.00,9B,,,,
Mario Basanov,We Are Child Of Love (The Mekanism Remix),6:25,Deep House,120.00,12A,,,,
Martin Solveig,My Love (Kölsch Remix),9:12,Dance / Pop,125.00,7B,,,,
"Maverick Sabre, Jorja Smith",Slow Down (feat. Jorja Smith) (Vintage Culture & Slow Motion Extended Remix),5:15,Deep House,124.00,9A,,,,
"Maverick Sabre, Jorja Smith",Slow Down (James Cole Remix),6:58,Deep House,126.00,9A,,,,
Metroplane,Be Where I Am Feat. Daniel Wilson (Extended Mix),4:44,House,122.00,9A,,,,
Michael Gray,The Weekend (Original 12 Inch Mix),7:52,House,127.01,9A,,,,
Midland,Final Credits (Original Mix),7:20,House,133.00,4A,,,,
Mita Gami,All By Myself (Original Mix),5:09,Deep House,124.00,6A,,,,
Mita Gami,What If It's All Alright (Original Mix),5:08,Indie Dance,120.00,6A,,,,
Mochakk,Da Fonk feat. Joni (Original Mix),6:06,House,127.00,8A,,,,
"Mochakk, Fernanda Ouro",NO8DO (Plaza Edit),5:54,Organic House / Downtempo,128.00,11A,,,,
Moloko,Sing It Back (Herbert's Tasteful Dub),5:59,House,123.42,2A,,,,
"Monique Bingham, Black Coffee",Deep in the Bottom (of Africa),6:33,Afro House,128.00,5A,,,,
"Moojo, Arodes",Reborn (Original Mix),7:10,Afro House,121.00,8A,,,,
Mylo,Drop the Pressure (Original Mix),4:15,House,127.98,10A,,,,
"Naira Marley, Young Jonn",Mafo (Original Mix),3:34,Afro House,120.00,10A,,,,
"Nandu, Radeckt, Tripolism",Dope Dance (Extended Mix),6:32,Melodic House & Techno,120.00,9A,,,,
"Nas Elmes, Toomas",Sorry Ass DJ (Original Mix),6:33,Minimal / Deep Tech,127.00,2A,,,,
Nico de Andrea,Wish We Could feat. Syon & Darla Jade (Extended Mix),5:26,House,120.00,3A,,,,
"Nina Carr, Effemar",Saturday Night (Extended),5:10,Dance / Pop,123.00,4A,,,,
Nina Kraviz,Ghetto Kraviz (Original Mix),3:44,Tech House,120.00,11A,,,,
"Noir, Haze",Around (Solomun Vox),6:58,Deep House,115.00,11A,,,,
"Oliver Koletzki, Jake The Rapper",Fifty Ways To Love Your Liver (Original Mix),5:04,Deep House,105.00,8A,,,,
Oliver Schories,Clu (Extended Mix),6:10,Deep House,122.00,5A,,,,
Oliver Schories,Tempest (Rodriguez Jr. Remix),6:37,Melodic House & Techno,124.00,12B,,,,
Omar S,Second Life Featuring John FM (Original Mix),6:03,House,122.02,3A,,,,
"Oscar P, Cris Herrera",Said I Know (Homero Espinosa Moulton Dub),7:08,Deep House,124.00,8A,,,,
"Outkast, Sleepy Brown",The Way You Move (Original Mix),3:54,Trap / Future Bass,126.00,5A,,,,
Overmono,So U Kno (Original Mix),5:43,Dance / Pop,130.00,4A,,,,
Paul Swell,Bring That Light (Original Mix),6:05,Indie Dance,125.00,7A,,,,
Peggy Gou,I Go (DJ Koze Remix),5:30,Melodic House & Techno,124.00,12B,,,,
Peggy Gou,I Go (Maurice Fulton Remix),6:19,Indie Dance,114.00,12B,,,,
Pete le Freq,Puddin' And Pie (Original Mix),8:00,Nu Disco / Disco,100.00,9A,,,,
Quantic,I Won't Fade Away feat. Alice Russell (Original Mix),3:48,UK Garage / Bassline,125.00,9A,,,,
"R Plus, Amelia Fox",Love Will Tear Us Apart (Tensnake Extended Remix),6:18,Melodic House & Techno,123.00,9A,,,,
Rampa,2000 (Original Mix),6:16,Indie Dance,123.00,8A,,,,
"Rampa, Keinemusik, chuala",Les Gout (Original Mix),6:44,Afro House,120.00,3A,,,,
"Rhye, Adam Ten",3 Days Later (Extended),6:47,Melodic House & Techno,123.00,12A,,,,
"Rivo, Adriatique",Like A Dream (Extended Version),5:21,Melodic House & Techno,123.00,5A,,,,
"Robert Miles, Tinlicker",Children (Extended Mix),7:09,Trance (Main Floor),124.00,4A,,,,
Robosonic,Worst Love (Original Mix),8:28,Deep House,120.00,9A,,,,
Robyn,Dancing On My Own (Fred Falke Remix),7:30,Dance / Pop,124.99,2A,,,,
"Episode, Rony Seikaly",Holdin On (Original Mix),7:04,Deep House,121.00,10A,,,,
"Rosalie, James Mac, VALL",The Boy Is Mine feat. Rosalie (Club Mix),6:16,Afro House,123.00,12A,,,,
Royksopp,Sordid Affair (Maceo Plex Mix),7:58,Tech House,123.00,3A,,,,
"RÜFÜS DU SOL, Adam Ten, Mita Gami",Lately (Adam Ten & Mita Gami Extended Remix),5:02,Deep House,126.00,12A,,,,
Rules,Saturday Morning (Extended Mix),5:16,Dance / Pop,123.00,10A,,,,
Samaran,Paris Madness (Club),4:19,House,122.00,5B,,,,
Sean Miller,The Good Life (Joeski Remix),8:19,Deep House,125.00,11A,,,,
"Serge Devant, Camille Safiya, Damiano C",Fearing Love feat. Camille Safiya (Club Mix),7:28,Deep House,123.00,4A,,,,
Shakka,When Will I See You Again (Amtrac Remix),6:31,Nu Disco / Disco,125.00,5B,,,,
"Shimza, Mikhaela Faye",Calling Out Your Name (Original Mix),7:01,Afro House,123.00,1A,,,,
Shura,Touch (Four Tet Remix),4:35,Electronica,122.00,8B,,,,
"Skin On Skin, jamesjamesjames",Memories of Before (jamesjamesjames Remix),6:06,House,132.00,3A,,,,
Solomun,Never Sleep Again (Keinemusik Remix),7:12,Melodic House & Techno,120.00,6A,,,,
Spencer Brown,Good Times (Emanuel Satie Extended Mix),6:59,Indie Dance,124.00,12A,,,,
Stereoclip,Feel The Game (Extended Remix),5:31,Melodic House & Techno,125.00,1A,,,,
Stereoclip,Sunset Drive (Extended Mix),7:13,Melodic House & Techno,125.00,5A,,,,
"Stereoclip, DIM KELLY",Preach The World (Original Mix),5:17,Organic House / Downtempo,122.00,12A,,,,
"Steve Angello, Laidback Luke, Robin S",Show Me Love (Extended Mix),6:40,House,130.00,7B,,,,
Sucre Sale,Bye Bye Les Fraises feat. Sashe (Heinrichs & Hirtenfellner Remix),7:43,Tech House,123.00,3A,,,,
Supernova,Lovely Summer Dreams (Extended Mix),6:57,Deep House,123.00,8A,,,,
Tal Fussman,Children Of 95 (Original Mix),5:57,Deep House,124.00,9A,,,,
Tchami,Adieu (Original Mix),6:53,Mainstage,126.00,10A,,,,
TENSHU,Stones Throw (Original Mix),5:13,UK Garage / Bassline,126.00,8A,,,,
"Tiga, Audion",Let's Go Dancing (Solomun Extended Remix),7:34,Dance / Pop,125.00,5B,,,,
"Tiga, Hudson Mohawke, Elisabeth Troy",Ascending Into The Clouds (Original Mix),6:14,Dance / Pop,141.00,2A,,,,
"Tiga, Ron Costa, Eats Everything, Audion",Dancing (Again!) (Original Mix),6:39,Dance / Electro Pop,125.00,8A,,,,
Tim Berg,Seek Bromance (Avicii Vocal Extended),8:08,Mainstage,126.00,12A,,,,
Tinlicker,Watching Over You (Extended Mix),6:29,Melodic House & Techno,124.00,6A,,,,
"Tinlicker, Helsloot",Because You Move Me (Extended Mix),7:19,Dance / Pop,123.00,7A,,,,
"Todd Terry, A-Trak",DJs Gotta Dance More feat. Todd Terry (Extended),4:44,House,120.00,10A,,,,
Trance Wax,Rhythm Of The Night (Extended Mix),5:36,Dance / Pop,127.00,4A,,,,
Verboten Berlin,Symmetry (Club Remix),6:06,Deep House,122.00,11A,,,,
Verboten Berlin,Symmetry (Rodriguez Jr. Remix),6:13,Deep House,120.50,11A,,,,
"WhoMadeWho, Adriatique",Miracle (Original Mix),6:20,Melodic House & Techno,123.00,6A,,,,
Xinobi,Far Away Place (Rampa Remix),5:32,Melodic House & Techno,123.00,11A,,,,
"Yves Murasca, Rosario Galati",Carry On (Mika Olson Remix),6:49,Deep House,120.00,8A,,,,
"Zeds Dead, Twin Shadow, D'Angelo Lacy",Lost You (Original Mix),3:38,Dance / Pop,126.00,10B,,,,
ZHU,Cocaine Model (Original Mix),4:15,Deep House,120.00,7A,,,,
Adrian Hour,Chordgresion (Original Mix),6:54,Techno (Peak Time / Driving),125.00,6A,,,,
Audion,Dem Howl Feat. Troels Abrahamsen (Joris Voorn Mix),7:35,Tech House,124.00,3A,,,,
Caribou,Can't Do Without You (Tale Of Us & Mano Le Tough Remix),7:37,Electronica,128.00,8A,,,,
Coldplay,A Sky Full of Stars (Kölsch Remix),9:21,Electronica,123.00,1A,,,,
Danny Daze,Freeze (Frozen Mix),8:11,Tech House,126.00,10A,,,,
Dhumen,No More (Original Mix),6:39,Tech House,125.00,9A,,,,
Galaxy 2 Galaxy,Journey of the Dragons (Original Mix),6:43,Electronica,130.07,10A,,,,
Henrik Schwarz,Lockstep (Original Mix),7:39,Techno (Peak Time / Driving),124.50,6A,,,,
Hinz & Ruhmhardt,Panther (Original Mix),8:11,Techno (Peak Time / Driving),126.00,3A,,,,
"John Norman, Dantiez Saunderson",Stuck in My Mind (Soukervalii Remix),6:15,Deep House,128.00,4A,,,,
Karl Friedrich,Bodies (Original Mix),8:49,Techno (Peak Time / Driving),124.00,4B,,,,
Kenny Larkin,Plankton (Original Mix),8:57,Tech House,124.99,10B,,,,
Kolsch,Balance Presents Klsch (Continuous Mix),75:03,Tech House,124.92,10A,,,,
Kolsch,Papageno Feat. Waa Industry (Original Mix),7:38,Electronica,122.00,8B,,,,
Kolsch,Punchbuggy (Original Mix),6:22,Electronica,124.00,8A,,,,
Minilogue,Endlessness (Original Mix),11:37,Techno (Peak Time / Driving),124.03,4A,,,,
Odd Parents,Learn to Fly (Maceo Plex Flight Home Remix),8:27,Electronica,122.00,11A,,,,
Patrice Baumel,Mile High Gang (Original Mix),7:12,Techno (Peak Time / Driving),125.00,3A,,,,
Pional,It's All Over (John Talabot's Stripped Remix),8:32,Deep House,120.00,10A,,,,
Radiohead,Videotape (Original Mix),4:42,Electronica,154.77,12A,,,,
40 Thieves,Don’t Turn It Off feat. Qzen (Session Victim Extended Remix),6:47,,124.00,8A,,,,
Cheo,Macumba,5:36,,115.00,10A,,,,
FKJ,Lying Together,4:28,,102.00,2A,,,,
Jamie xx feat. Romy,Loud Places,4:43,,109.00,1A,,,,
Khruangbin,Time (You and I),5:42,,105.38,12A,,,,
Logic1000,Like My Way,4:13,,125.00,9A,,,,
Perrez,There's Never Been (No One Like You)(P's Sunrise Edit),5:42,,117.72,10B,,,,
Rawayana,FUNKY FIESTA feat. José Luis Pardo,4:20,,120.00,7B,,,,
RedSoul,Could heaven ever be like this? (RedSoul Edit),8:42,,123.00,8A,,,,
Rhye,Count To Five - Tensnake Remix,5:18,,112.00,8A,,,,
Shaolin Cowboy feat. AJ Edward,Yeh Yeh Yeh,6:17,,123.00,2A,,,,
Tom Misch,Cos I Love You,4:13,,116.02,5A,,,,
Frank Ocean,Lost,3:54,Pop,123.00,6A,,,,
rusowsky & Ralphie Choo,Dolores,3:38,Pop,122.00,10A,,,,
Warren G,Regulate (feat. Nate Dogg),4:08,Hip-Hop/Rap,95.41,9A,,,,
"veggi, Bipolar Sunshine & KALLITECHNIS",GROOVE,2:45,Dance,116.00,5B,,,,
Disclosure,Boiling (feat. Sinead Harnett),3:46,Electronic,128.00,11A,,,,
ruso & Flat 22,The Word (Extended Mix),4:54,House,122.00,7A,,,,
Andre Nickatina,Ayo for Yayo (feat. San Quinn),3:14,Hip-Hop/Rap,128.48,10A,,,,
Tame Impala,Let it Happen (Soulwax Remix),9:17,Alternative,124.99,12A,,,,
Cherub,Doses & Mimosas,5:23,Alternative,114.50,7B,,,,
rusowsky,malibU,3:35,Pop,126.00,9B,,,,
Ben Pearce,What I Might Do,3:14,Dance,122.00,5A,,,,
Scott Diaz & LOA.,Memories,6:24,,126.00,3A,,,,
Scott Diaz & LOA.,Memories (Edit),4:07,,126.00,3A,,,,
The Dead Rose Music Company,Just a Bitter Love,7:55,House,109.33,6A,,,,
Alex Virgo,Promiscuous [AV Edit],5:36,,126.00,3A,,,,
Big Ang,U Sure D0 2021,5:16,,135.00,2B,,,,
J. Koen,Where the Subtle Meets Infinity (Original Mix),5:47,Deep House,123.00,1A,,,,
JEND,U Know (Extended Version),4:38,House,125.00,8B,,,,
"JEND, Paccu, Taha Malki",Out Of My Mind (Extended Mix),5:15,Tech House,128.00,8A,,,,
Jodium,It's Complicated,6:32,,129.00,3A,,,,
"Marshall Jefferson, Solardo",Move Your Body (Extended Mix),6:13,Tech House,125.00,9A,,,,
Never Dull,CARE 4 ME (Extended Mix),5:09,,119.00,9A,,,,
Parsifal,Feeling Good (PARSIFAL Remix),6:42,,124.00,6A,,,,
"Oliver Dollar, Jimi Jules",Pushing On (Original Mix),6:57,Deep House,122.00,10A,,,,
Rick Ross X Pharrell,For The Money (SNAKEHIPS EDIT) Extended,5:50,,126.00,11A,,,,
"Room 5, Oliver Cheatham",Make Luv (Original Mix),3:32,House,124.79,5A,,,,
Texture,Hit The Ground  (Extended Mix),4:00,House,122.00,6A,,,,
The XX,On Hold (Jamie xx Remix),6:11,House,128.20,5A,,,,
"Ajna (BE), Samm (BE)",Rinketin (Extended Mix),6:53,Afro House,122.00,1A,,,,
"BL3SS, CamrinWatsin, bbyclose",Kisses (feat. bbyclose) (feat. bbyclose),3:43,Dance / Pop,142.00,7A,,,,
"Zo!, Phonte, Erro",We Are On The Move (Joey Negro Revival Mix),7:05,Nu Disco / Disco,123.00,7A,,,,
Fatima Yamaha,Whats A Girl To Do (Redondo Edit),4:57,,120.00,3A,,,,
Finnebassen,What You Do (Original Mix),6:16,Deep House,120.00,6A,,,,
"Guy Mantzur, Roy Rosenfeld",Epika (Original Mix),8:38,Tech House,120.00,8A,,,,
Hana,Illusory (Extended Mix),5:59,Melodic House & Techno,132.00,1A,,,,
Portrait,What Can I Do,2:25,,122.00,8A,,,,
Karmon,Take My Hand Feat. Terry Shand (Original Mix),7:40,Deep House,117.00,7A,,,,
Lucas Dekker,A Fire Inside Of Me (Extended),4:44,House,125.00,7A,,,,
"Maribou State, Holly Walker",Midas feat. Holly Walker (Ben Pearce Re-Edit),6:05,Electronica,120.00,8A,,,,
Mark Alow,Trip To The Lonely Planet (Original Mix),7:33,Deep House,121.00,8A,,,,
Megatronic,Been Thinkin (Original Mix),4:27,Deep House,124.00,8A,,,,
"Nicolas Masseyeff, Parallelle",Unmute (Dub),6:57,Melodic House & Techno,123.00,7A,,,,
"Sam Smith, Disclosure",Latch (Jamie Jones Remix),6:31,Electronica,123.00,4B,,,,
"Sam Smith, Disclosure",Latch (Original Mix),4:16,Dance / Pop,122.00,4A,,,,
Frankey & Sandrino,Love Complete feat. Charlotte Riby,5:22,,123.00,9A,,,,
Boogie Vice & Deep Aztec,Promises (N-You-Up Dub Extended Mix),7:36,,122.00,6A,,,,
Chet Faker,No Diggity (Original Mix),3:45,Indie Dance,80.00,6A,,,,
"Demm Deep, Junes UB",Brazilian Sky,3:19,,126.00,4A,,,,
Fleetwood Mac,The Chain (2004 Remaster),4:28,Pop,151.45,9A,,,,
L'Imperatrice,Agitations tropicales (Original Mix),4:08,Dance / Pop,116.00,1A,,,,
L'Imperatrice,Vanille fraise (Original Mix),3:58,Indie Dance,103.03,6A,,,,
"Metronomy, Polo & Pan",Disco Nap (Original Mix),3:13,Electronica,116.00,5A,,,,
